item-group,Subclass,clr_strt,clr_end,study_strt,study_end,clr_strt_dt,clr_end_dt,surv_time_days,inv_fin,avg_qty,avg_boh,avg_price_before_clr,brand
CORE LEGGING,Comfort Side Pocket Leggings,28/07/19,22/09/19,05/05/19,29/09/19,11/09/19,29/09/19,2.6,0,87.82857143,455.0626984,19.99,National
TOPS,Tops,28/07/19,22/09/19,05/05/19,29/09/19,25/07/19,16/08/19,3.1,1,71.0984127,492.8568254,28.99,National
ETA PONTE SKIRT,Pencil Skirt Office,28/07/19,22/09/19,05/05/19,29/09/19,30/06/19,16/08/19,6.7,1,59.37142857,742.2419048,29.99,Private
LRP DENIM,Denim Jeans,28/07/19,22/09/19,05/05/19,29/09/19,02/06/19,24/06/19,3.1,1,11.66190476,135.5031746,24.99,National
OPP SKINNY,Skinny Jeans,07/07/19,01/09/19,05/05/19,29/09/19,06/08/19,29/09/19,7.7,1,21.6015873,337.6555556,27.99,National
MR CORE JEGGING,Yoga Leggings,07/07/19,01/09/19,05/05/19,29/09/19,06/09/19,13/09/19,1.0,1,66.63968254,539.3803175,27.99,Private
2.1 SHIRT DRESS,Denim Shirt Dress,28/07/19,22/09/19,05/05/19,29/09/19,09/07/19,13/09/19,9.4,0,27.74036281,288.2290249,29.99,National
2.1 RUCHED TOP,Square Neck Top,28/07/19,22/09/19,05/05/19,29/09/19,10/05/19,09/09/19,17.4,0,54.79428571,604.2571429,27.99,Private
T-SHIRT DRESS,T-Shirt Dress,28/07/19,22/09/19,05/05/19,29/09/19,02/06/19,10/08/19,9.9,0,9.969047619,180.9420635,14.99,Private
LRP KNT TANK DRESS,Bodycon Dress,28/07/19,22/09/19,05/05/19,29/09/19,07/06/19,10/06/19,0.4,0,9.642857143,143.4285714,44.99,Private
PUL ON LINEN-CANCL,Pull-on Linen Trousers,28/07/19,22/09/19,05/05/19,29/09/19,09/05/19,29/08/19,16.0,1,43.20095238,626.0133333,19.99,National
5.1 LINEN SKIRT,Linen Skirts,28/07/19,22/09/19,05/05/19,29/09/19,15/05/19,25/05/19,1.4,0,9.714285714,122.2857143,27.99,Private
5.1 SS BNTFRNT TIR,Tie Front Top,28/07/19,22/09/19,05/05/19,29/09/19,02/06/19,13/09/19,14.7,1,9.464852608,140.106576,29.99,National
TIE DETL KNT JMPST,Jumpsuit,28/07/19,22/09/19,05/05/19,29/09/19,29/05/19,09/07/19,5.9,1,23.87619048,148.6095238,24.99,Private
5.1 WD LEG CRP PNT,Wide Leg Crop Pants,28/07/19,22/09/19,05/05/19,29/09/19,07/05/19,01/06/19,3.6,1,99.70294785,946.8770975,27.99,National
WHITE DENIM,White Denim Jeans,28/07/19,22/09/19,05/05/19,29/09/19,20/09/19,22/09/19,0.3,1,74.74829932,808.5061224,27.99,National
SHIRT DRESS,Shirt Dress,28/07/19,22/09/19,05/05/19,29/09/19,28/05/19,06/09/19,14.4,0,10.63968254,137.152381,27.99,National
6.1 LIN SMOCK MIDI,Smock Dress,28/07/19,22/09/19,05/05/19,29/09/19,03/08/19,11/08/19,1.1,1,71.07936508,410.6263492,29.99,Private
5.1 LINEN SHORT,Linen Shorts,28/07/19,22/09/19,05/05/19,29/09/19,18/08/19,28/09/19,5.9,1,80.07904762,388.8742857,27.99,Private
5.1 KNT MAXI BBYDL,Knit Top,28/07/19,22/09/19,05/05/19,29/09/19,09/06/19,02/09/19,12.1,1,103.5495238,608.9914286,24.99,Private
LIN PTCH PCKT SKRT,Patch Pocket Shirt,28/07/19,22/09/19,05/05/19,29/09/19,15/09/19,25/09/19,1.4,0,84.96539683,607.1615873,29.99,National
DRESSES,Dress,07/07/19,01/09/19,05/05/19,29/09/19,26/06/19,26/08/19,8.7,1,9.714031746,116.3599365,25.39,National
SL BTTN FRNT DRESS,Vintage Secretary Dress,28/07/19,22/09/19,05/05/19,29/09/19,08/09/19,24/09/19,2.3,1,12.46258503,103.1269841,27.99,Private